Spec_type,T_S,alpha,beta
M3_r,165,75,160
M3_r,175,45,174
M3_r,175,40,170
M3_r,170,70,180
M3_r,175,55,172
M3_r,175,40,180
M3_r,175,60,178
M3_f,170,38,155
M3_f,160,90,180
M3_f,160,90,180
M3_f,150,55,160
M3_f,160,70,180
M3_f,125,50,180
M3_f,150,80,180
M3v2_r,160,45,180
M3v2_r,170,40,180
M3v2_r,170,35,180
M3v2_r,170,55,175
M3v2_r,170,50,175
M3v2_r,170,45,180
M3v2_r,170,35,170
M3v2_f,170,60,180
M3v2_f,165,60,180
M3v2_f,170,30,180
M3v2_f,165,30,160
M3v2_f,170,65,180
M3v2_f,170,45,180
M3v2_f,175,45,175